,행정동,구,공원개수,문화시설개수,한강공원개수,체육시설개수,보행자도로개수,초중고,관광명소개수,지하철개수,호텔개수,대학교개수,총합
116,면목4동,중랑구,,2,,1,,2,,1,,,123
117,면목7동,중랑구,,1,,,,1,,,,,120
118,면목본동,중랑구,,1,,,,2,1,1,,,124
119,명동,중구,,21,,,12,2,2,2,18,,177
120,목1동,양천구,,5,,5,2,3,,2,,,138
121,목5동,양천구,,1,,,2,7,,1,,,133
122,묵1동,중랑구,,2,,,,5,,1,,,131
123,문래동,영등포구,,5,,,8,5,1,1,,,144
124,미성동,관악구,,2,,,,8,,,,,135
125,반포1동,서초구,,3,,,,1,,2,,,132
126,반포2동,서초구,,3,12,2,,2,1,1,,,148
127,반포4동,서초구,,1,,,,14,,1,2,1,147
128,방이2동,송파구,,1,,,,1,,1,1,,133
129,번3동,강북구,,2,,,,2,1,,,,135
130,보광동,용산구,,1,,,,2,,,,,134
131,부암동,종로구,,6,,,,4,3,,,1,146
132,사근동,성동구,,1,,,,5,,2,,2,144
133,사당5동,동작구,,1,,,1,4,,,,,141
134,삼성1동,강남구,,6,,,,3,2,2,3,,152
135,삼성2동,강남구,,3,,,,1,1,1,4,,147
136,상계10동,노원구,,1,,,,4,,,,,143
137,상계2동,노원구,,2,,,2,2,,1,,,146
138,상계6.7동,노원구,,4,,,,6,,,1,1,152
139,상도2동,동작구,,1,,,,2,,1,,,145
140,상봉1동,중랑구,,1,,,,4,,2,,,149
141,상봉2동,중랑구,,1,,,,,,,2,,146
142,상암동,마포구,,5,,1,,5,1,1,1,,158
143,서강동,마포구,,3,,,,1,,2,,1,153
144,서교동,마포구,,9,,,,1,1,2,7,,167
145,서빙고동,용산구,,5,2,,,2,1,1,,,159
146,서초1동,서초구,,1,,,,2,,1,2,1,156
147,서초2동,서초구,,3,,1,,2,,1,,,157
148,서초3동,서초구,,9,,,,5,1,2,3,,171
149,서초4동,서초구,,1,,,4,3,,,,,160
150,성내1동,강동구,,2,,,,2,,1,,,158
151,성내3동,강동구,,1,,,,,,1,1,,157
152,성북동,성북구,,7,,,,17,3,,,,182
153,성산2동,마포구,,2,,,,5,1,2,,,166
154,성수1가1동,성동구,,3,,,,7,1,1,,,169
155,소공동,중구,,18,,,,5,5,1,7,,194
156,송중동,강북구,,2,,,,3,,1,1,,166
157,송천동,강북구,,1,,,,6,,1,,,168
158,송파2동,송파구,,1,,,,6,,,,,168
159,수색동,은평구,,1,,,,1,,1,,,165
160,수서동,강남구,,1,,,,3,,1,,,168
161,수유1동,강북구,,1,,,,7,,1,,,173
162,수유3동,강북구,,1,,,,1,,,,,167
163,숭인1동,종로구,,1,,,,,,,,,167
164,숭인2동,종로구,,2,,,2,3,,1,1,,176
165,시흥1동,금천구,,3,,,2,4,,1,,,178
166,시흥3동,금천구,,2,,,,5,,,,,176
167,시흥4동,금천구,,1,,,,1,,,,,172
168,시흥5동,금천구,,1,,,2,2,,,,,176
169,신길5동,영등포구,,1,,,,1,,,,,174
170,신내2동,중랑구,,1,,,,4,,1,,,179
171,신당동,중구,,2,,,,4,1,1,,,182
172,신도림동,구로구,,1,,,,3,1,2,1,,183
173,신림동,관악구,,1,,,2,,1,1,2,,183
174,신사동,강남구,,4,4,,,3,1,2,2,,193
175,신월7동,양천구,,1,,,,2,,,,,181
176,신정6동,양천구,,4,,,,2,,,,,185
177,신촌동,서대문구,,7,,,12,6,1,2,1,2,211
178,쌍문1동,도봉구,,3,,,,4,,,,1,189
179,아현동,마포구,,1,,,,4,,2,1,,190
180,안암동,성북구,,1,,,,3,,1,,1,189
181,암사1동,강동구,,1,,,,1,,,,,186
182,암사2동,강동구,,3,,1,,2,1,1,,,193
183,압구정동,강남구,,6,,,,5,,1,2,,200
184,양재2동,서초구,,1,,1,,2,1,1,1,,194
185,여의동,영등포구,,5,,1,,6,3,4,5,,212
186,역삼1동,강남구,,13,,,1,1,,3,12,,219
187,역삼2동,강남구,,1,,,,4,,2,1,,198
188,역촌동,은평구,,2,,,,1,,,,,194
189,염창동,강서구,,1,,,4,5,,,3,,205
190,영등포본동,영등포구,,1,,,,4,,1,,,199
191,오륜동,송파구,,10,,,,7,1,1,,1,214
192,용답동,성동구,,1,,,,1,,3,1,,201
193,용문동,용산구,,1,,,,,1,,,,198
194,용신동,동대문구,,6,,,,3,,3,3,,212
195,우이동,강북구,,1,,,,1,,3,,,203
196,우장산동,강서구,,2,,,4,2,,,,,207
197,원효로1동,용산구,,5,,,,,,,,,205
198,원효로2동,용산구,,2,,,,3,1,,,,207
199,월계1동,노원구,,1,,,,3,,1,,1,208
200,월계2동,노원구,,1,,,2,9,,1,,1,217
201,월곡2동,성북구,,2,,,,2,,2,,1,211
202,을지로동,중구,,2,,,,1,,2,4,,214
203,응암1동,은평구,,1,,,,3,,,1,,211
204,응암3동,은평구,,1,,,,5,,,,,213
205,이문1동,동대문구,,2,,,,2,,1,,2,215
206,이문2동,동대문구,,1,,,,1,,1,,,212
207,이촌1동,용산구,,2,2,1,,2,,,,,217
208,이촌2동,용산구,,1,,,,,1,,,,213
209,이태원1동,용산구,,3,,,,1,2,1,4,,223
210,이태원2동,용산구,,3,,,,1,1,,,,218
211,이화동,종로구,,21,,,4,2,3,1,,1,246
212,인수동,강북구,,2,,,,3,,,1,,221
213,일원2동,강남구,,2,,,,1,,1,,,220
214,자양1동,광진구,,1,,,,1,,,,,219
215,자양3동,광진구,,2,9,1,2,4,1,1,1,,239
216,자양4동,광진구,,3,5,,,1,,,,,228
217,잠실2동,송파구,,2,4,5,,6,1,1,,,239
218,잠실3동,송파구,,8,2,,,4,2,,1,,238
219,잠실본동,송파구,,1,,4,,1,1,,2,,231
220,잠원동,서초구,,1,6,,,2,,1,2,,235
221,장안1동,동대문구,,2,,,,3,,,3,,232
222,장충동,중구,,8,,1,,1,1,1,4,1,242
223,전농1동,동대문구,,1,,,,2,,1,2,,232
224,정릉1동,성북구,,1,,,,1,1,1,,,231
225,정릉3동,성북구,,1,,,,4,,,,1,234
226,제기동,동대문구,,2,,,,5,,1,,,237
227,종로5.6가동,종로구,,2,,,,1,1,2,2,,238
228,종암동,성북구,,3,,,,4,,,1,,239
229,중계1동,노원구,,1,,1,1,5,,,,,240
230,중계2.3동,노원구,,2,,,,9,1,1,,,246
231,중계4동,노원구,,1,,,1,6,,,,,242
232,중계본동,노원구,,1,,,,5,,,,,241
233,중곡3동,광진구,,1,,,,2,,1,,,240
234,중림동,중구,,4,,1,,4,1,1,,,248
235,증산동,은평구,,1,,,,3,,1,,,243
236,창4동,도봉구,,3,,1,,5,,2,,,250
237,창5동,도봉구,,2,,,,3,,,,,245
