,초중고,구
월곡1동,4,성북구
월곡2동,2,성북구
위례동,2,송파구
은천동,2,관악구
을지로동,1,중구
응봉동,2,성동구
응암1동,3,은평구
응암2동,1,은평구
응암3동,5,은평구
이문1동,2,동대문구
이문2동,1,동대문구
이촌1동,2,용산구
이태원1동,1,용산구
이태원2동,1,용산구
이화동,2,종로구
인수동,3,강북구
인헌동,2,관악구
일원1동,3,강남구
일원2동,1,강남구
일원본동,5,강남구
자양1동,1,광진구
자양2동,7,광진구
자양3동,4,광진구
자양4동,1,광진구
잠실2동,6,송파구
잠실3동,4,송파구
잠실4동,3,송파구
잠실6동,2,송파구
잠실7동,4,송파구
잠실본동,1,송파구
잠원동,2,서초구
장안1동,3,동대문구
장안2동,3,동대문구
장위1동,2,성북구
장위2동,1,성북구
장위3동,3,성북구
장지동,7,송파구
장충동,1,중구
전농1동,2,동대문구
전농2동,8,동대문구
정릉1동,1,성북구
정릉2동,2,성북구
정릉3동,4,성북구
정릉4동,2,성북구
제기동,5,동대문구
조원동,1,관악구
종로1.2.3.4가동,2,종로구
종로5.6가동,1,종로구
종암동,4,성북구
중계1동,5,노원구
중계2.3동,9,노원구
중계4동,6,노원구
중계본동,5,노원구
중곡3동,2,광진구
중곡4동,6,광진구
중림동,4,중구
중앙동,1,관악구
중화1동,5,중랑구
증산동,3,은평구
진관동,11,은평구
창1동,4,도봉구
창2동,1,도봉구
창3동,2,도봉구
창4동,5,도봉구
창5동,3,도봉구
창신1동,1,종로구
창신3동,2,종로구
천연동,3,서대문구
천호1동,4,강동구
천호2동,2,강동구
천호3동,1,강동구
청계동,13,의왕시
청구동,4,중구
청담동,3,강남구
청량리동,3,동대문구
청룡동,9,관악구
청운효자동,7,종로구
청파동,7,용산구
춘의동,9,부천시
충현동,7,서대문구
평창동,1,종로구
풍납1동,2,송파구
풍납2동,6,송파구
풍덕천1동,1,용인시 수지구
필동,3,중구
하계1동,8,노원구
하계2동,3,노원구
한강로동,4,용산구
한남동,1,용산구
합정동,1,마포구
행당1동,1,성동구
행당2동,3,성동구
행운동,5,관악구
혜화동,6,종로구
홍은1동,1,서대문구
홍은2동,5,서대문구
홍제1동,2,서대문구
홍제3동,3,서대문구
화곡1동,3,강서구
화곡2동,1,강서구
화곡4동,4,강서구
화곡6동,2,강서구
화곡본동,2,강서구
화양동,3,광진구
화전동,2,고양시 덕양구
회기동,5,동대문구
효창동,1,용산구
후암동,2,용산구
휘경2동,7,동대문구
흑석동,4,동작구
