"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11320-00003,월천근린공원,근린공원,서울특별시 도봉구 창동 28번지,서울특별시 도봉구 창동 28번지,37.6474667,127.0508766,10712,"배드민턴장, 체력단련장","시소, 조합놀이대","화장실, 음수대",,연못,1985-04-10,서울특별시 도봉구청,02-2091-3754,2018-05-15
11320-00005,발바닥공원,기타,서울특별시 도봉구 시루봉로6길 33 (방학동),,37.6595413,127.0319617,15520,,,,,,,서울특별시 도봉구청,02-2091-3772,2018-05-15
11320-00006,방학사계광장,기타,서울특별시 도봉구 방학동 678번외 3필지,,37.6624248,127.0419288,16560,,,,,,,서울특별시 도봉구청,02-2091-3773,2018-05-15
11320-00002,초안산 근린공원,근린공원,서울특별시 도봉구 창동 산48-4번지 일대,서울특별시 도봉구 창동 산48-4번지 일대,37.6475899,127.0407593,664905,"운동장, 축구장, 농구장, 배드민턴장, 골프연습장, 체력단련장",,"주차장, 매점, 화장실, 음수대",도서관,"연못, 분수",1993-02-10,서울특별시 도봉구청,02-2091-3754,2018-05-15
11320-00001,둘리(쌍문)근린공원,근린공원,서울특별시 도봉구 시루봉로2길 34 (쌍문동),"서울특별시 도봉구 방학동, 쌍문동 일대",37.6533662,127.029022,328018,"테니스장, 농구장, 배구장, 배드민턴장, 체력단련장","그네, 조합놀이대","화장실, 음수대, 샘터",문화회관,"연못, 분수",1996-07-29,서울특별시 도봉구청,02-2091-3754,2018-05-15
11320-00007,원당샘공원,기타,서울특별시 도봉구 방학동 547번지 일대,,37.6607686,127.0220268,4671,,,,,,,서울특별시 도봉구청,02-2091-3763,2018-05-15
