,지역,학교명,위도,경도,구
655,서울특별시 강동구,신암중학교,37.55636925,127.13361409999999,강동구
656,서울특별시 송파구,신천중학교,37.51643649,127.07770959999999,송파구
657,서울특별시 송파구,아주중학교,37.50522875,127.0765489,송파구
658,서울특별시 송파구,영파여자중학교,37.532854,127.120354,송파구
659,서울특별시 송파구,오금중학교,37.50526983,127.1288,송파구
660,서울특별시 송파구,오륜중학교,37.5,127.1,송파구
661,서울특별시 송파구,오주중학교,37.50150606,127.1362666,송파구
662,서울특별시 송파구,일신여자중학교,37.50088,127.113224,송파구
663,서울특별시 송파구,잠신중학교,37.51616992,127.08780359999999,송파구
664,서울특별시 송파구,잠실중학교,37.517819200000005,127.09866470000001,송파구
665,서울특별시 송파구,정신여자중학교,37.50945438,127.07384779999998,송파구
666,서울특별시 강동구,천일중학교,37.54590987,127.1276387,강동구
667,서울특별시 강동구,천호중학교,37.54651971,127.13969809999999,강동구
668,서울특별시 송파구,풍성중학교,37.52543976,127.11288359999999,송파구
669,서울특별시 강동구,한산중학교,37.52890265,127.1403033,강동구
670,서울특별시 강동구,한영중학교,37.549136,127.15738700000001,강동구
671,서울특별시 양천구,강신중학교,37.51513662,126.8381588,양천구
672,서울특별시 강서구,경서중학교,37.56124257,126.8577618,강서구
673,서울특별시 강서구,공진중학교,37.56692499,126.85105459999998,강서구
674,서울특별시 강서구,공항중학교,37.56217796,126.8149676,강서구
675,서울특별시 양천구,금옥중학교,37.510293,126.844182,양천구
676,서울특별시 강서구,덕원중학교,37.550018,126.82944599999999,강서구
677,서울특별시 강서구,등명중학교,37.56019353,126.84330390000001,강서구
678,서울특별시 강서구,등원중학교,37.55971781,126.85168020000002,강서구
679,서울특별시 강서구,등촌중학교,37.55248302,126.8592134,강서구
680,서울특별시 강서구,마포중학교,37.560364,126.853059,강서구
681,서울특별시 강서구,명덕여자중학교,37.553625,126.83481499999999,강서구
682,서울특별시 양천구,목동중학교,37.52095837,126.87144450000001,양천구
683,서울특별시 양천구,목일중학교,37.5133739,126.8741821,양천구
684,서울특별시 강서구,방원중학교,37.575976000000004,126.808714,강서구
685,서울특별시 강서구,방화중학교,37.56433498,126.8071071,강서구
686,서울특별시 강서구,백석중학교,37.54829127,126.85895420000001,강서구
687,서울특별시 양천구,봉영여자중학교,37.508959999999995,126.861331,양천구
688,서울특별시 강서구,삼정중학교,37.581561,126.810702,강서구
689,서울특별시 강서구,성재중학교,37.56945118,126.84529479999999,강서구
690,서울특별시 강서구,송정중학교,37.55315762,126.81524340000001,강서구
691,서울특별시 양천구,신남중학교,37.52077533,126.8478252,양천구
692,서울특별시 양천구,신목중학교,37.5,126.8,부천시
693,서울특별시 양천구,신서중학교,37.515908,126.85554499999999,양천구
694,서울특별시 양천구,신원중학교,37.536668,126.82431100000001,양천구
695,서울특별시 양천구,신월중학교,37.54046258,126.8283912,양천구
696,서울특별시 강서구,신정여자중학교,37.537958,126.856493,강서구
697,서울특별시 양천구,신화중학교,37.54082155,126.82989750000002,양천구
698,서울특별시 양천구,양강중학교,37.52491143,126.8496223,양천구
699,서울특별시 양천구,양동중학교,37.5483674,126.86871780000001,양천구
700,서울특별시 양천구,양서중학교,37.532914,126.829502,양천구
701,서울특별시 양천구,양정중학교,37.535378,126.886908,양천구
702,서울특별시 양천구,양천중학교,37.51900026,126.83054890000001,양천구
703,서울특별시 강서구,염창중학교,37.5538859,126.8716074,강서구
704,서울특별시 양천구,영도중학교,37.535944,126.865946,양천구
705,서울특별시 양천구,월촌중학교,37.537656,126.88299599999999,양천구
706,서울특별시 강서구,화곡중학교,37.548164,126.83320400000001,강서구
707,서울특별시 강서구,화원중학교,37.536971,126.84253500000001,강서구
708,서울특별시 금천구,가산중학교,37.46781801,126.8942659,금천구
709,서울특별시 구로구,개봉중학교,37.50353022,126.8424,구로구
710,서울특별시 구로구,개웅중학교,37.48752519,126.8510722,구로구
711,서울특별시 구로구,고척중학교,37.500325399999994,126.86215959999998,구로구
712,서울특별시 구로구,구로중학교,37.494704999999996,126.890895,구로구
713,서울특별시 구로구,구일중학교,37.49530027,126.8737683,구로구
714,서울특별시 금천구,난곡중학교,37.4780455,126.9107939,관악구
715,서울특별시 영등포구,당산서중학교,37.53248539,126.8988269,영등포구
716,서울특별시 영등포구,당산중학교,37.53203128,126.90761609999998,영등포구
717,서울특별시 영등포구,대림중학교,37.49231851,126.90746599999999,영등포구
718,서울특별시 영등포구,대영중학교,37.50343874,126.9052085,영등포구
719,서울특별시 금천구,동일중학교,37.45224509,126.9170405,금천구
720,서울특별시 영등포구,문래중학교,37.52041649,126.88414209999999,영등포구
721,서울특별시 금천구,문성중학교,37.475551,126.908002,금천구
722,서울특별시 금천구,문일중학교,37.45033129,126.89851270000001,금천구
723,서울특별시 금천구,세일중학교,37.474503000000006,126.89568600000001,금천구
724,서울특별시 금천구,시흥중학교,37.446296600000004,126.90508170000001,금천구
725,서울특별시 구로구,신도림중학교,37.51074037,126.88480849999999,구로구
726,서울특별시 금천구,안천중학교,37.45952246,126.8875004,금천구
727,서울특별시 영등포구,선유중학교,37.53328511,126.8943002,영등포구
728,서울특별시 영등포구,양화중학교,37.51965987,126.8959936,영등포구
729,서울특별시 영등포구,여의도중학교,37.52398056,126.93575359999998,영등포구
730,서울특별시 영등포구,영남중학교,37.497541999999996,126.896254,영등포구
731,서울특별시 구로구,영림중학교,37.49722007,126.8906916,구로구
732,서울특별시 구로구,영서중학교,37.4892525,126.8944068,구로구
733,서울특별시 영등포구,영원중학교,37.51497446,126.9136456,영등포구
734,서울특별시 구로구,오남중학교,37.487475,126.836532,구로구
735,서울특별시 구로구,경인중학교,37.49846665,126.85367409999999,구로구
736,서울특별시 구로구,오류중학교,37.50786367,126.8462137,구로구
737,서울특별시 구로구,우신중학교,37.496241,126.82626200000001,구로구
738,서울특별시 영등포구,윤중중학교,37.51893165,126.92412490000001,영등포구
739,서울특별시 동대문구,경희여자중학교,37.594561999999996,127.051427,동대문구
740,서울특별시 동대문구,경희중학교,37.594487,127.05490400000001,동대문구
741,서울특별시 동대문구,대광중학교,37.578519,127.024809,동대문구
742,서울특별시 동대문구,동국대학교사범대학부속중학교,37.57804844,127.07513359999999,동대문구
743,서울특별시 동대문구,동대문중학교,37.57452901,127.0519915,동대문구
744,서울특별시 중랑구,동원중학교,37.60382237,127.1095004,중랑구
745,서울특별시 중랑구,면목중학교,37.58321558,127.0963055,중랑구
746,서울특별시 중랑구,봉화중학교,37.596244,127.10396999999999,중랑구
747,서울특별시 중랑구,상봉중학교,37.601345,127.090001,중랑구
748,서울특별시 동대문구,성일중학교,37.58185167,127.0338508,동대문구
749,서울특별시 중랑구,송곡여자중학교,37.605992,127.104901,중랑구
750,서울특별시 동대문구,숭인중학교,37.57391956,127.04405790000001,동대문구
751,서울특별시 중랑구,신현중학교,37.60446476,127.09153119999999,중랑구
752,서울특별시 중랑구,영란여자중학교,37.603660999999995,127.104495,중랑구
753,서울특별시 중랑구,용마중학교,37.57450893,127.08626909999998,중랑구
754,서울특별시 중랑구,원묵중학교,37.61784829999999,127.0845217,중랑구
755,서울특별시 중랑구,장안중학교,37.600774799999996,127.0809952,중랑구
756,서울특별시 동대문구,장평중학교,37.56686096,127.070477,동대문구
757,서울특별시 동대문구,전농중학교,37.58204347,127.05927859999998,동대문구
758,서울특별시 동대문구,전동중학교,37.585587,127.070981,동대문구
