행정동,구,공원개수,공원개수_w,문화시설개수,문화시설개수_w,한강공원개수,한강공원개수_w,체육시설개수,체육시설개수_w,보행자도로개수,보행자도로개수_w,초중고,초중고_w,관광명소개수,관광명소개수_w,지하철개수,지하철개수_w,호텔개수,호텔개수_w,대학교개수,대학교개수_w,총합,가중치총합,인구수비율,SCORE,랭크
한남동,용산구,,0,27,0.004552529,,0,,0,,0,1,0.00000768,2,0.002325581,2,0.000271186,2,0.000077519,,0,34,0.007234495,0.00297748,0.014682893,35
회현동,중구,,0,3,0.000505837,,0,,0,8,0.002557078,,0,3,0.003488372,3,0.00040678,5,0.000193798,,0,22,0.007151865,0.002740996,0.014312714,36
낙성대동,관악구,,0,1,0.000168612,,0,2,0.002083333,8,0.002557078,1,0.00000768,2,0.002325581,,0,,0,,0,14,0.007142284,0.002579799,0.014136015,37
서교동,마포구,,0,9,0.00151751,,0,,0,,0,1,0.00000768,1,0.001162791,2,0.000271186,7,0.000271318,,0,20,0.003230485,0.007825856,0.013052781,38
잠실본동,송파구,,0,1,0.000168612,,0,4,0.004166667,,0,1,0.00000768,1,0.001162791,,0,2,0.000077519,,0,9,0.005583269,0.00344193,0.012475659,39
혜화동,종로구,1,0.000422535,13,0.002191958,,0,,0,4,0.001278539,6,0.000046083,1,0.001162791,,0,,0,2,0.000344828,27,0.005446734,0.003335869,0.012148685,40
청운효자동,종로구,,0,9,0.00151751,,0,,0,,0,7,0.000053763,4,0.004651163,,0,,0,1,0.000172414,21,0.00639485,0.001580284,0.011927151,41
문래동,영등포구,,0,5,0.000843061,,0,,0,8,0.002557078,5,0.000038402,1,0.001162791,1,0.000135593,,0,,0,20,0.004736925,0.00381708,0.011481425,42
갈현2동,은평구,,0,,0,,0,,0,16,0.005114155,10,0.000076805,,0,1,0.000135593,,0,,0,27,0.005326553,0.002496635,0.011114998,43
서초3동,서초구,,0,9,0.00151751,,0,,0,,0,5,0.000038402,1,0.001162791,2,0.000271186,3,0.000116279,,0,20,0.003106168,0.006040687,0.011066467,44
삼성1동,강남구,,0,6,0.001011673,,0,,0,,0,3,0.000023041,2,0.002325581,2,0.000271186,3,0.000116279,,0,16,0.00374776,0.004388964,0.01045284,45
